evid;dt;opid;dispid;rsname;mcssn;mcsname;msuid;msuname;grpname;typeid;direction;statusid;description;duration;notRead;recorded;media;extdispid;soundfile;trgid;trgname;grpid;loneworker;addInfo;sourceid;userName;source_name;target_name;source_uid;target_uid;channel_id;is_server_event
128197;2025-04-18 23:00:33.223;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;3;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;GEANمركز الفضاء التجاري;VOIX TUNIS;dmr:11062034@subscribers.global;dmr:6505@subscribers.global;17826016;0
128198;2025-04-18 23:01:27.343;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مركز أمن عمومي بومهل);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز أمن عمومي بومهل;All Call;dmr:11112001@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128199;2025-04-18 23:02:04.883;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;فوج التدخل بنعسان;VOIX TUNIS;dmr:11105039@subscribers.global;dmr:6505@subscribers.global;17826016;0
128200;2025-04-18 23:02:29.943;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سرية أنياب أريانة;VOIX TUNIS;dmr:11056013@subscribers.global;dmr:6505@subscribers.global;17826016;0
128201;2025-04-18 23:05:44.887;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;1;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور المنيهلة;VOIX TUNIS;dmr:11093012@subscribers.global;dmr:6505@subscribers.global;17826016;0
128202;2025-04-18 23:05:44.887;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (مركز مرور المنيهلة);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور المنيهلة;All Call;dmr:11093012@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128203;2025-04-18 23:07:34.823;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;1;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور تونس;VOIX BEN AROUS;dmr:11023005@subscribers.global;dmr:6505@subscribers.global;19923168;0
128204;2025-04-18 23:07:34.823;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مركز مرور تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور تونس;All Call;dmr:11023005@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128205;2025-04-18 23:08:12.883;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (المركز العدلي بالفرقة السياحية حمام الشط);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;المركز العدلي بالفرقة السياحية حمام الشط;All Call;dmr:11112046@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128206;2025-04-18 23:08:45.680;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;3;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;المركز العدلي بالفرقة السياحية حمام الشط;VOIX BEN AROUS;dmr:11112046@subscribers.global;dmr:6505@subscribers.global;19923168;0
128207;2025-04-18 23:09:34.377;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4713;VOIX AFAMAR 2';NULL;NULL;;0;0;2;AFAMAR 2' (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;النقطة القارة بإستخلاص سيدي ثابت;VOIX AFAMAR 2';dmr:11007195@subscribers.global;dmr:16448250@subscribers.global;24117472;0
128208;2025-04-18 23:09:34.377;1;bc0599df84a340d6a428da8322e22082;Central;511TSD5111;VOICE MANOUBA;NULL;NULL;;0;0;2;MANOUBA (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة فوج التدخل بالمرناقية34565;VOICE MANOUBA;dmr:11045020@subscribers.global;dmr:6505@subscribers.global;22020320;0
128209;2025-04-18 23:09:34.377;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4713;VOIX AFAMAR 2';NULL;NULL;;0;0;2;AFAMAR 2' (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة العمليات المركزية;VOIX AFAMAR 2';dmr:11000001@subscribers.global;dmr:16448250@subscribers.global;24117472;0
128210;2025-04-18 23:09:34.377;1;bc0599df84a340d6a428da8322e22082;Central;511TSD5111;VOICE MANOUBA;NULL;NULL;;0;0;2;MANOUBA (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مفترق الوطنية 7 كلم 4;VOICE MANOUBA;dmr:11033012@subscribers.global;dmr:6505@subscribers.global;22020320;0
128211;2025-04-18 23:09:34.377;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4713;VOIX AFAMAR 2';NULL;NULL;;0;0;2;AFAMAR 2' (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مقر المصلحة الأولى بالسريعة أ4;VOIX AFAMAR 2';dmr:11007080@subscribers.global;dmr:16448250@subscribers.global;24117472;0
128212;2025-04-18 23:09:34.377;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4713;VOIX AFAMAR 2';NULL;NULL;;0;0;2;AFAMAR 2' (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مصلحة الطرقات السيارة أ3;VOIX AFAMAR 2';dmr:11007102@subscribers.global;dmr:16448250@subscribers.global;24117472;0
128213;2025-04-18 23:09:34.377;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4713;VOIX AFAMAR 2';NULL;NULL;;0;0;2;AFAMAR 2' (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز إستخلاص مرناق;VOIX AFAMAR 2';dmr:11007058@subscribers.global;dmr:16448250@subscribers.global;24117472;0
128214;2025-04-18 23:09:37.357;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة فوج التدخل المركزي 27139;VOIX TUNIS;dmr:11003043@subscribers.global;dmr:6505@subscribers.global;17826016;0
128215;2025-04-18 23:09:37.357;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة امن عمومي الرفاهة29509;VOIX TUNIS;dmr:11082033@subscribers.global;dmr:6505@subscribers.global;17826016;0
128216;2025-04-18 23:09:37.357;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;فرقة الطريق العمومي المنيهلة;VOIX TUNIS;dmr:11092006@subscribers.global;dmr:6505@subscribers.global;17826016;0
128217;2025-04-18 23:09:37.357;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة أمن عمومي بومهل 29553;VOIX TUNIS;dmr:11112053@subscribers.global;dmr:6505@subscribers.global;17826016;0
